ID,Year.x,sex,Site,CI1,RS,WPY,JulRec,N,avg_entropy,avg_dfrange,avg_freq.range,avg_meanpeakf,avg_num.elms,avg_elm.duration,avg_elm.rate,avg_song.duration,avg_gap.duration,avg_mcp.area,avg_freq.IQR,cv_entropy,cv_dfrange,cv_freq.range,cv_meanpeakf,cv_num.elms,cv_elm.duration,cv_elm.rate,cv_song.duration,cv_gap.duration,cv_mcp.area,cv_freq.IQR,maxTS,T_Avg_Bright,R_Avg_Bright,B_Avg_Bright,V_Avg_Bright,T_Hue,R_Hue,B_Hue,V_Hue,T_Chroma,R_Chroma,B_Chroma,V_Chroma,RelRec,idyr,band,Year.y,T_tcs.h.theta,T_tcs.h.phi,T_tcs.r.achieved,T_sum.B2,R_tcs.h.theta,R_tcs.h.phi,R_tcs.r.achieved,R_sum.B2,B_tcs.h.theta,B_tcs.h.phi,B_tcs.r.achieved,B_sum.B2,V_tcs.h.theta,V_tcs.h.phi,V_tcs.r.achieved,V_sum.B2
2540-98871,2012,m,Fisher,147,5,3,139,2,0.804934263,2.156588942,9.7915,3.977245192,35.5,0.057524038,11.35375553,3.166,0.031916384,3.29E-05,0.948301754,0.000133377,0.005352881,0.071972825,0.003516979,0.690140845,6.81E-05,0.120604417,0.183525584,0.001636238,1.27E-07,9.97E-06,76.08333333,24.98506009,32.37947238,31.59739893,24.28366683,617.7633333,625.37,623.0733333,642.38,0.443255855,0.414679513,0.409927866,0.488318999,-8,2540-98871 2012,2540-98871,2012,-0.075449787,-0.745404443,0.448065348,24.52394373,0.006182556,-0.778044085,0.418696904,31.85460849,-0.025844297,-0.745036354,0.37836712,31.11628527,-0.06645325,-0.686171544,0.52604099,23.7493098
2600-27212,2012,m,CHR,149,7,5,122,5,0.779382857,2.514938114,9.35832,3.781929273,34.4,0.062135838,9.938831754,3.5382,0.040780704,3.22E-05,1.01457025,0.000439761,0.074333405,0.012491217,0.007441819,1.680232558,0.000373595,0.1420041,0.32524015,0.001770406,1.21E-06,0.01843967,86,19.42297062,25.25081105,29.04444734,22.62007177,669.74,645.7033333,600.76,660.04,0.377707833,0.470805674,0.438858297,0.463697569,-27,2600-27212 2012,2600-27212,2012,-0.051881083,-0.756625802,0.275809193,19.20042905,-0.069449527,-0.70606644,0.489810948,24.73701914,-0.039194202,-0.774732771,0.465164127,28.51607595,-0.07048376,-0.682201099,0.463894533,22.17875392
2600-27294,2012,m,CHR,125,2,NA,122,4,0.796366659,2.236933397,9.971875,3.352903604,58,0.067343947,10.19864968,5.68675,0.03159059,3.68E-05,0.995971089,0.000716782,0.028910733,0.709221577,0.004481502,1.873563218,0.000266816,0.046263158,0.173242875,0.000160601,1.11E-06,0.034951016,105.5,22.8487129,26.82132549,28.25498498,23.51489217,638.4666667,608.13,626.0766667,658.44,0.46986103,0.44474566,0.448278815,0.474707303,-3,2600-27294 2012,2600-27294,2012,-0.090065361,-0.718082654,0.481431471,22.41421822,-0.033852479,-0.744331118,0.465470188,26.32767189,-0.035556504,-0.753764523,0.47897012,27.71948377,-0.063367523,-0.71160363,0.503651508,23.03216429
2600-27408,2012,m,CHR,147,9,9,146,5,0.783849643,2.36210726,8.97612,4.010783992,43.8,0.058928339,11.18847967,3.9626,0.031881296,3.56E-05,1.008227779,0.000401513,0.038010797,0.498296829,0.021285005,0.324200913,0.000483303,0.107661763,0.111658961,0.000820001,2.38E-06,0.006944756,92,23.06694091,35.6341801,29.324556,26.5961786,650.1033333,607.42,647.7733333,591.4266667,0.458763542,0.424543122,0.431435907,0.453559859,-1,2600-27408 2012,2600-27408,2012,-0.07111761,-0.711814456,0.471245937,22.62271093,0.012530682,-0.809149376,0.460258908,35.01735871,0.005234765,-0.804463081,0.480472067,28.78969975,-0.047534786,-0.733776408,0.477475267,26.09352362
2600-27496,2012,m,CHR,149,3,2,142,5,0.782980313,2.38786229,8.62064,4.052958927,34.6,0.057281954,11.60874382,2.9888,0.029993939,3.83E-05,1.212444298,0.000152165,0.029204327,0.070681505,0.011563548,1.280346821,0.001225253,0.039004958,0.115263551,0.000543446,9.93E-07,0.026141125,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,2600-27496 2012,2600-27496,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2600-27548,2012,m,CHR,133,6,1,164,5,0.781086586,2.411599586,10.97106,3.752992002,36.4,0.059974534,10.95785741,3.3254,0.032672022,3.21E-05,1.107690598,0.00040511,0.09458376,2.119305751,0.012957926,1.903846154,0.000108503,0.063150319,0.163427347,0.000857716,2.42E-07,0.014965788,75,17.91801152,37.32414538,37.55310916,20.68510449,649.6966667,619.74,599.06,636.4133333,0.500694359,0.427203746,0.396273369,0.513750779,31,2600-27548 2012,2600-27548,2012,-0.110301993,-0.699558158,0.542254298,17.52565295,0.021544888,-0.86278934,0.513147891,36.63902798,0.012690098,-0.804098237,0.381894715,37.01564484,-0.069360619,-0.697560841,0.601352674,20.17680617
2600-27557,2012,m,CHR,153,7,NA,206,4,0.782047896,2.210335081,10.345075,3.84694677,38.75,0.059094066,10.62899999,3.652,0.037056937,3.25E-05,0.944234311,0.000101658,0.003431524,0.03872443,0.00363261,0.729032258,0.000606903,0.163206695,0.036535049,0.001520094,3.65E-07,0.003753379,88,24.33122217,35.90448857,34.92580037,33.19301486,670.7133333,617.1033333,587.73,613.36,0.447914605,0.416140961,0.431295204,0.417966479,53,2600-27557 2012,2600-27557,2012,-0.03173279,-0.797541479,0.506459697,23.87173005,-0.023698996,-0.80016506,0.417291098,35.32896029,0.011034724,-0.852975219,0.520183593,34.27317119,0.035410301,-0.850033303,0.47834358,32.6258274
2600-27616,2012,m,CHR,148,2,2,132,3,0.775057865,1.842678862,11.85873333,3.945948633,39.33333333,0.06024846,11.08704136,3.55,0.031549709,2.85E-05,1.298712333,0.001180213,0.125388182,3.23447181,0.004256087,0.822033898,6.90E-05,0.149999318,0.039008732,0.002521334,2.07E-06,0.003892607,107,21.34261425,35.87065682,24.02525421,22.78769571,651.15,644.45,644.4433333,650.77,0.491517915,0.411331282,0.46099709,0.516623997,-16,2600-27616 2012,2600-27616,2012,-0.06308308,-0.71135086,0.553301636,20.85458441,0.013317986,-0.829507352,0.43506499,35.27977481,0.004775712,-0.799275723,0.566377345,23.5131468,-0.066433193,-0.692620152,0.601615346,22.21706565
2600-27638,2012,m,CHR,175,0,0,142,3,0.785186786,1.930024368,11.11363333,3.60882906,45,0.05902311,10.19634601,4.408333333,0.040097402,3.45E-05,0.997728459,0.000167645,0.000283125,0.079221604,0.004612281,1.488888889,9.59E-05,0.020320118,0.129534745,0.000131965,8.39E-08,0.058486328,86,20.52288516,29.13321265,43.37611601,19.53241696,677.4633333,627.46,667.44,660.7333333,0.501926626,0.456111568,0.369259045,0.511243535,-33,2600-27638 2012,2600-27638,2012,-0.088333726,-0.727289467,0.576746238,20.04099322,0.012211919,-0.796494186,0.546221379,28.52791467,0.078983988,-0.95465692,0.379647004,42.79822021,-0.059766834,-0.729359546,0.61565978,19.04746839
2600-27738,2012,m,CHR,144,7,2,137,5,0.798483746,2.304333072,9.7075,3.500869059,51.8,0.070467177,9.559680969,5.5092,0.035824438,3.41E-05,0.946745974,0.00058789,0.007379408,0.196693977,0.011628808,5.94015444,0.000585772,0.102965641,0.774206727,0.000968915,1.63E-07,0.003903854,79.16666667,21.09540945,44.34080871,34.09597747,36.35198948,687.38,590.13,552.53,596.7433333,0.499332058,0.387218943,0.378485639,0.409788561,-7,2600-27738 2012,2600-27738,2012,-0.024605135,-0.77647622,0.536034797,25.85579419,0.113238745,-0.96933689,0.388910483,41.83769321,0.063968523,-0.943421781,0.359452973,39.99371159,-0.005781234,-0.7712492,0.65498242,19.25643156
